city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population
Lima,Lima,-12.05,-77.0333,Peru,PE,PER,Lima,primary,9848000
Hyderābād,Hyderabad,17.3667,78.4667,India,IN,IND,Telangana,admin,9746000
Bogotá,Bogota,4.6126,-74.0705,Colombia,CO,COL,Bogotá,primary,9464000
Weifang,Weifang,36.7167,119.1,China,CN,CHN,Shandong,,9373000
Nagoya,Nagoya,35.1167,136.9333,Japan,JP,JPN,Aichi,admin,9113000
Wuhan,Wuhan,30.5872,114.2881,China,CN,CHN,Hubei,admin,8962000
Heze,Heze,35.2333,115.4333,China,CN,CHN,Shandong,minor,8750000
Ganzhou,Ganzhou,25.8292,114.9336,China,CN,CHN,Jiangxi,minor,8677600
Tongshan,Tongshan,34.261,117.1859,China,CN,CHN,Jiangsu,minor,8669000
Chicago,Chicago,41.8373,-87.6862,United States,US,USA,Illinois,,8604203
Handan,Handan,36.6116,114.4894,China,CN,CHN,Hebei,,8499000
Luanda,Luanda,-8.8383,13.2344,Angola,AO,AGO,Luanda,primary,8417000
Fuyang,Fuyang,32.8986,115.8045,China,CN,CHN,Anhui,,8360000
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,Malaysia,MY,MYS,Kuala Lumpur,primary,8285000
Jining,Jining,35.4,116.5667,China,CN,CHN,Shandong,,8023000
Dongguan,Dongguan,23.0475,113.7493,China,CN,CHN,Guangdong,minor,7981000
Hanoi,Hanoi,21.0245,105.8412,Vietnam,VN,VNM,Hà Nội,primary,7785000
Pune,Pune,18.5196,73.8553,India,IN,IND,Mahārāshtra,,7764000
Chongqing,Chongqing,29.55,106.5069,China,CN,CHN,Chongqing,admin,7739000
Changchun,Changchun,43.9,125.2,China,CN,CHN,Jilin,admin,7674439
Zhumadian,Zhumadian,32.9773,114.0253,China,CN,CHN,Henan,,7640000
Ningbo,Ningbo,29.875,121.5492,China,CN,CHN,Zhejiang,minor,7639000
Onitsha,Onitsha,6.1667,6.7833,Nigeria,NG,NGA,Anambra,minor,7635000
Nanjing,Nanjing,32.05,118.7667,China,CN,CHN,Jiangsu,admin,7496000
Hefei,Hefei,31.8639,117.2808,China,CN,CHN,Anhui,admin,7457027
Ahmadābād,Ahmadabad,23.03,72.58,India,IN,IND,Gujarāt,minor,7410000
Hong Kong,Hong Kong,22.305,114.185,Hong Kong,HK,HKG,,,7347000
Khartoum,Khartoum,15.6031,32.5265,Sudan,SD,SDN,Khartoum,primary,7282000
Nantong,Nantong,31.9829,120.8873,China,CN,CHN,Jiangsu,minor,7282835
Yancheng,Yancheng,33.3936,120.1339,China,CN,CHN,Jiangsu,minor,7260240
Foshan,Foshan,23.0292,113.1056,China,CN,CHN,Guangdong,minor,7194311
Nanning,Nanning,22.8192,108.315,China,CN,CHN,Guangxi,admin,7153300
Hengyang,Hengyang,26.8968,112.5857,China,CN,CHN,Hunan,,7148344
Xi’an,Xi'an,34.2667,108.9,China,CN,CHN,Shaanxi,admin,7135000
Shenyang,Shenyang,41.8039,123.4258,China,CN,CHN,Liaoning,admin,7105000
Tangshan,Tangshan,39.6292,118.1742,China,CN,CHN,Hebei,,7100000
Shaoyang,Shaoyang,27.2418,111.4725,China,CN,CHN,Hunan,,7071000
Changsha,Changsha,28.1987,112.9709,China,CN,CHN,Hunan,admin,7044118
Santiago,Santiago,-33.45,-70.6667,Chile,CL,CHL,Región Metropolitana,primary,7007000
Zhengzhou,Zhengzhou,34.7492,113.6605,China,CN,CHN,Henan,admin,7005000
Zhanjiang,Zhanjiang,21.1967,110.4031,China,CN,CHN,Guangdong,minor,6900000
Riyadh,Riyadh,24.65,46.71,Saudi Arabia,SA,SAU,Ar Riyāḑ,primary,6881000
Cangzhou,Cangzhou,38.3037,116.8452,China,CN,CHN,Hebei,,6800000
Dar es Salaam,Dar es Salaam,-6.8,39.2833,Tanzania,TZ,TZA,Dar es Salaam,primary,6698000
Maoming,Maoming,21.6618,110.9178,China,CN,CHN,Guangdong,minor,6706000
Huanggang,Huanggang,30.45,114.875,China,CN,CHN,Hubei,minor,6667000
Xinyang,Xinyang,32.1264,114.0672,China,CN,CHN,Henan,,6634000
Shangrao,Shangrao,28.4419,117.9633,China,CN,CHN,Jiangxi,minor,6579714
Luoyang,Luoyang,34.6587,112.4245,China,CN,CHN,Henan,,6549941
Bijie,Bijie,27.3019,105.2863,China,CN,CHN,Guizhou,,6537498
Yantai,Yantai,37.3997,121.2664,China,CN,CHN,Shandong,,6516900
Quanzhou,Quanzhou,24.9139,118.5858,China,CN,CHN,Fujian,minor,6480000
Hangzhou,Hangzhou,30.25,120.1675,China,CN,CHN,Zhejiang,admin,6446000
Miami,Miami,25.7839,-80.2102,United States,US,USA,Florida,,6445545
Kunming,Kunming,25.0433,102.7061,China,CN,CHN,Yunnan,admin,6250000
Nanchong,Nanchong,30.7991,106.0784,China,CN,CHN,Sichuan,minor,6183000
Zunyi,Zunyi,27.705,106.9336,China,CN,CHN,Guizhou,,6127009
Lu’an,Lu'an,31.7542,116.5078,China,CN,CHN,Anhui,minor,6090000
Yichun,Yichun,27.8041,114.383,China,CN,CHN,Jiangxi,minor,6048700
